Date;Début;Fin;Titre;Salle;Site;Prof
2025-10-13;09:00;12:00;Administration réseaux;F104;Faure;
2025-10-13;13:00;17:00;User eXperience (UX);F210;Faure;
2025-10-14;08:00;10:00;Admi. Poste clients Gestion Accès;F104;Faure;rouchaud philippe
2025-10-14;10:00;12:00;Admi. Poste clients Gestion Accès;F104;Faure;rouchaud philippe
2025-10-14;13:00;15:00;Anglais : Environnement numérique & professionnel;F104;Faure;
2025-10-14;15:00;17:00;Anglais : Environnement numérique & professionnel;F104;Faure;
2025-10-14;18:00;20:00;Administration réseaux;SALLE_14;DISTANCIEL;chaillou nathalie
2025-10-15;13:00;15:00;User eXperience (UX);Aucune;;
2025-10-15;15:00;17:00;User eXperience (UX);Aucune;;
2025-10-16;08:00;10:00;Admi. Poste clients Gestion Accès;F105;Faure;rouchaud philippe
2025-10-16;10:00;12:00;Atelier Env.Linux: Installation et configuration poste travail;F105;Faure;rouchaud philippe
2025-10-16;13:00;15:00;User eXperience (UX);Aucune;;
2025-10-16;15:00;17:00;User eXperience (UX);Aucune;;
